                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7986,                 23.264,                 5.4679,                 4.6862,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 4.1208,                 5.1783,                 5.0759,                 4.1786,             0.00031108,             0.00031108,             0.00031108
                      2,                 2.9636,                 4.0261,                 4.2045,                 3.7669,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 4.3771,                 5.1745,                 5.0084,                 4.3889,               0.000627,               0.000627,               0.000627
                      3,                 2.6551,                 2.4364,                 3.7156,                 3.3038,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 4.6195,                  5.153,                 4.6623,                 4.7222,             0.00093654,             0.00093654,             0.00093654
                      4,                 2.3998,                 1.6441,                 3.3494,                 2.9435,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 4.5365,                 5.8988,                  4.823,                  4.594,               0.001078,               0.001078,               0.001078
                      5,                 2.1109,                 1.3719,                 3.1743,                 2.7198,                0.10587,                   0.66,                0.19624,                 0.0741,                0.11099,                0.67333,                0.20128,                0.12612,                 1.7332,                 1.5109,                 3.2776,                 2.5287,               0.001078,               0.001078,               0.001078
                      6,                 1.9697,                 1.2866,                  3.069,                  2.583,                0.15083,                0.57333,                 0.1849,                0.07032,                0.14934,                   0.58,                0.19252,                0.15663,                 2.2059,                0.89289,                 3.0276,                 2.6715,               0.001067,               0.001067,               0.001067
                      7,                 1.8554,                 1.0491,                  2.888,                 2.4973,                  0.181,                   0.58,                0.24564,                0.10637,                  0.186,                0.59333,                0.25637,                 0.1984,                 1.6666,                0.76152,                 2.7572,                 2.4925,               0.001056,               0.001056,               0.001056
                      8,                 1.7758,                0.97981,                 2.7706,                 2.3468,                 0.1519,                0.47684,                 0.1929,                0.11938,                 0.1519,                0.47684,                 0.1929,                0.15908,                 1.6324,                0.84745,                 2.6734,                 2.2488,               0.001045,               0.001045,               0.001045
                      9,                 1.6663,                0.96766,                 2.5574,                 2.2595,                0.19453,                   0.68,                0.24774,                0.11427,                0.19453,                   0.68,                0.24781,                0.15788,                 1.9069,                 1.1036,                  3.003,                 2.4189,               0.001034,               0.001034,               0.001034
                     10,                 1.4863,                0.87497,                 2.4186,                 2.1385,                0.38519,                0.20667,                0.10492,                0.03635,                      0,                      0,                      0,                      0,                 2.7151,                  9.172,                 7.5133,                 3.3727,               0.001023,               0.001023,               0.001023
                     11,                 1.5816,                0.98327,                 2.4017,                 2.2427,                 0.0024,                0.21333,                0.00325,                0.00103,                      0,                      0,                      0,                      0,                 2.4283,                 12.229,                 18.821,                 2.9517,               0.001012,               0.001012,               0.001012
                     12,                 1.3676,                0.93476,                 2.2306,                 1.9899,                0.00321,                0.34667,                0.02166,                0.00496,                      0,                      0,                      0,                      0,                 3.0856,                 14.956,                 12.394,                 4.0005,               0.001001,               0.001001,               0.001001
                     13,                 1.2744,                 0.8545,                 2.1689,                 1.9077,                0.07565,                0.25333,                0.07956,                0.01539,                      0,                      0,                      0,                      0,                 3.3622,                 10.234,                 9.0729,                 4.4786,             0.00099001,             0.00099001,             0.00099001
                     14,                 1.2155,                0.81555,                 2.0755,                 1.8633,                0.03432,                0.20667,                0.02497,                0.00629,                      0,                      0,                      0,                      0,                  3.242,                 14.057,                 41.062,                 4.6419,             0.00097901,             0.00097901,             0.00097901
                     15,                 1.1703,                0.75983,                  1.988,                 1.7811,                0.30049,                0.65859,                0.39816,                0.30728,                0.30049,                0.65859,                0.39816,                0.34913,                  0.908,                0.64767,                 1.7336,                 1.7018,             0.00096801,             0.00096801,             0.00096801
                     16,                 1.1623,                0.76977,                 1.9442,                 1.7665,                0.26559,                0.76772,                0.41843,                0.30647,                0.26559,                0.76772,                0.41843,                0.34805,                 1.0051,                0.62925,                 1.7871,                 1.7459,             0.00095702,             0.00095702,             0.00095702
                     17,                 1.0826,                0.73661,                 1.8354,                 1.6877,                0.34139,                0.77149,                0.48605,                0.37703,                0.34139,                0.77149,                0.48605,                0.40804,                0.88738,                0.63332,                 1.5415,                 1.6933,             0.00094602,             0.00094602,             0.00094602
                     18,                 1.0391,                0.75288,                 1.8444,                 1.6332,                0.31822,                 0.8268,                0.44529,                 0.3503,                0.31822,                 0.8268,                0.44529,                0.36867,                0.85467,                0.67865,                 1.5927,                  1.541,             0.00093502,             0.00093502,             0.00093502
                     19,                 1.0076,                0.75037,                 1.7223,                 1.5719,                0.06519,                   0.14,                0.04179,                0.00919,                      0,                      0,                      0,                      0,                 3.6109,                 9.9253,                 13.686,                 4.7106,             0.00092402,             0.00092402,             0.00092402
                     20,                 0.9501,                0.74073,                 1.6647,                 1.5155,                0.27142,                   0.14,                0.06252,                0.01395,                      0,                      0,                      0,                      0,                   3.55,                 8.0169,                   8.73,                 4.0683,             0.00091302,             0.00091302,             0.00091302
                     21,                0.94128,                0.70709,                 1.6181,                 1.4928,                0.39639,                0.84654,                0.57712,                0.49576,                0.39639,                0.84654,                0.57712,                0.50093,                0.70252,                0.62224,                 1.3829,                 1.3996,             0.00090202,             0.00090202,             0.00090202
                     22,                0.90964,                0.70635,                 1.5964,                 1.4549,                0.43496,                 0.8367,                 0.5419,                0.47044,                0.43496,                 0.8367,                 0.5419,                0.47001,                0.65546,                0.58954,                 1.4355,                 1.3677,             0.00089102,             0.00089102,             0.00089102
